id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW190527_092055-v1,GW190527_092055,1,GWTC-2,1242984074,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190527_092055/v1,36.5,-9,16.4,22.6,-8.1,10.5,8.867476218,,,2490,-1240,2480,0.11,-0.28,0.28,59.1,-9.8,21.3,24.3,-4.2,9.1,34.9,-5.5,21.7,0.44,-0.2,0.34,0.06227035131,,,0.988513,,,56.4,-9.3,20.2
GW190602_175927-v1,GW190602_175927,1,GWTC-2,1243533585,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190602_175927/v1,69.1,-13,15.7,47.8,-17.4,14.3,12.13087549,,,2690,-1120,1790,0.07,-0.24,0.25,116.3,-15.6,19,49.1,-8.5,9.1,72.9,-13.7,10.8,0.47,-0.17,0.25,1.15E-05,,,0.999994,,,110.9,-14.9,17.7
GW190620_030421-v1,GW190620_030421,1,GWTC-2,1245035079,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190620_030421/v1,57.1,-12.7,16,35.5,-12.3,12.2,10.91846315,,,2810,-1310,1680,0.33,-0.25,0.22,92.1,-13.1,18.5,38.3,-6.5,8.3,57.5,-11.2,9,0.49,-0.2,0.23,0.002920938373,,,0.999133,,,87.2,-12.1,16.8
GW190630_185205-v1,GW190630_185205,1,GWTC-2,1245955943,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190630_185205/v1,35.1,-5.6,6.9,23.7,-5.1,5.2,15.64051209,,,890,-370,560,0.1,-0.13,0.12,59.1,-4.8,4.6,24.9,-2.1,2.1,29.4,-1.5,1.6,0.18,-0.07,0.1,1.00E-05,,,1,,,56.4,-4.6,4.4
GW190701_203306-v1,GW190701_203306,1,GWTC-2,1246048405,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190701_203306/v1,53.9,-8,11.8,40.8,-12,8.7,11.58996006,,,2060,-730,760,-0.07,-0.29,0.23,94.3,-9.5,12.1,40.3,-4.9,5.4,55.5,-8.1,7.3,0.37,-0.12,0.11,0.01086136861,,,0.997879,,,90.2,-8.9,11.3
GW190706_222641-v1,GW190706_222641,1,GWTC-2,1246487219,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190706_222641/v1,67,-16.2,14.6,38.2,-13.3,14.6,12.34834506,,,4420,-1930,2590,0.28,-0.29,0.26,104.1,-13.9,20.2,42.7,-7,10,75.1,-17.5,11,0.71,-0.27,0.32,1.00E-05,,,1,,,99,-13.5,18.3
GW190707_093326-v1,GW190707_093326,1,GWTC-2,1246527224,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190707_093326/v1,11.6,-1.7,3.3,8.4,-1.7,1.4,12.97817936,,,770,-370,380,-0.05,-0.08,0.1,20.1,-1.3,1.9,8.5,-0.5,0.6,9.89,-0.09,0.1,0.16,-0.07,0.07,1.00E-05,,,1,,,19.2,-1.3,1.9
GW190708_232457-v1,GW190708_232457,1,GWTC-2,1246663515,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190708_232457/v1,17.6,-2.3,4.7,13.2,-2.7,2,13.0713007,,,880,-390,330,0.02,-0.08,0.1,30.9,-1.8,2.5,13.2,-0.6,0.9,15.5,-0.2,0.3,0.18,-0.07,0.06,2.83E-05,,,0.999988,,,29.5,-1.8,2.5
GW190719_215514-v1,GW190719_215514,1,GWTC-2,1247608533,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190719_215514/v1,36.5,-10.3,18,20.8,-7.2,9,7.993907515,,,3940,-2000,2590,0.32,-0.31,0.29,57.8,-10.7,18.3,23.5,-4,6.5,38.7,-6.6,9.2,0.64,-0.29,0.33,1.559222129,,,0.81555,,,54.9,-10.2,17.3
GW190720_000836-v1,GW190720_000836,1,GWTC-2,1247616535,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190720_000836/v1,13.4,-3,6.7,7.8,-2.2,2.3,11.69609782,,,790,-320,690,0.18,-0.12,0.14,21.5,-2.3,4.3,8.9,-0.8,0.5,10.4,-0.1,0.2,0.16,-0.06,0.12,1.00E-05,,,1,,,20.4,-2.2,4.5
GW190725_174728-v1,GW190725_174728,1,GWTC-2.1-confident,1248112066,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190725_174728/v1,11.5,-2.7,6.2,6.4,-2,2,9.074,,,1050,-460,570,-0.04,-0.14,0.26,18.2,-1.8,4.2,7.4,-0.5,0.6,,,,0.21,-0.09,0.1,0.46,,,0.96021,,,17.4,-1.8,4.4
GW190727_060333-v1,GW190727_060333,1,GWTC-2,1248242632,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190727_060333/v1,38,-6.2,9.5,29.4,-8.4,7.1,12.29941092,,,3300,-1500,1540,0.11,-0.25,0.26,67.1,-8,11.7,28.6,-3.7,5.3,44.7,-5.7,5.3,0.55,-0.22,0.21,1.00E-05,,,1,,,63.8,-7.5,10.9
GW190728_064510-v1,GW190728_064510,1,GWTC-2,1248331529,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190728_064510/v1,12.3,-2.2,7.2,8.1,-2.6,1.7,13.64274848,,,870,-370,260,0.12,-0.07,0.2,20.6,-1.3,4.5,8.6,-0.3,0.5,10.1,-0.08,0.09,0.18,-0.07,0.05,1.00E-05,,,1,,,19.6,-1.3,4.7
GW190731_140936-v1,GW190731_140936,1,GWTC-2,1248617395,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190731_140936/v1,41.5,-9,12.2,28.8,-9.5,9.7,8.460146466,,,3300,-1720,2390,0.06,-0.24,0.24,70.1,-11.3,15.8,29.5,-5.2,7.1,46.6,-8.2,6.8,0.55,-0.26,0.31,0.2058421231,,,0.966501,,,67,-10.8,14.6
GW190803_022701-v1,GW190803_022701,1,GWTC-2,1248834440,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190803_022701/v1,37.3,-7,10.6,27.3,-8.2,7.8,8.614396126,,,3270,-1580,1950,-0.03,-0.27,0.24,64.5,-9,12.6,27.3,-4.1,5.7,42.7,-6.1,6.3,0.55,-0.24,0.26,0.02693431725,,,0.99411,,,61.7,-8.5,11.8
GW190805_211137-v1,GW190805_211137,1,GWTC-2.1-confident,1249074715,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190805_211137/v1,48.2,-12.5,17.5,32,-11.4,13.4,8.2505,,,5310,-2950,4100,0.35,-0.36,0.3,80.1,-16.1,22.5,33.5,-7,10.1,,,,0.82,-0.4,0.48,0.63,,,0.95372,,,75.8,-15.3,21.2
GW190814-v2,GW190814,2,GWTC-2,1249852257,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190814/v2,23.2,-1,1.1,2.59,-0.09,0.08,22.17523326,,,240,-50,40,0,-0.06,0.06,25.8,-0.9,1,6.09,-0.06,0.06,6.41,-0.02,0.02,0.05,-0.01,0.009,1.00E-05,,,1,,,25.6,-0.9,1.1
GW190828_063405-v1,GW190828_063405,1,GWTC-2,1251009264,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_063405/v1,32.1,-4,5.8,26.2,-4.8,4.6,16.03592292,,,2130,-930,660,0.19,-0.16,0.15,58,-4.8,7.7,25,-2.1,3.4,34.5,-2.8,2.9,0.38,-0.15,0.1,1.00E-05,,,1,,,54.9,-4.3,7.2
GW190828_065509-v1,GW190828_065509,1,GWTC-2,1251010528,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_065509/v1,24.1,-7.2,7,10.2,-2.1,3.6,11.12790887,,,1600,-600,620,0.08,-0.16,0.16,34.4,-4.4,5.4,13.3,-1,1.2,17.4,-0.7,0.6,0.3,-0.1,0.1,1.00E-05,,,1,,,33.1,-4.5,5.5
GW190909_114149-v2,GW190909_114149,2,GWTC-2.1-auxiliary,1252064528,/GWTC-2.1,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-auxiliary/GW190909_114149/v2,,,,,,,8.686535178,,,,,,,,,,,,,,,,,,,,,99.63265576,,,0.152543096,,,,,
GW190910_112807-v1,GW190910_112807,1,GWTC-2,1252150105,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190910_112807/v1,43.9,-6.1,7.6,35.6,-7.2,6.3,13.41737344,,,1460,-580,1030,0.02,-0.18,0.18,79.6,-9.1,9.3,34.3,-4.1,4.1,43.9,-3.6,4.6,0.28,-0.1,0.16,1.89E-05,,,0.999988,,,75.8,-8.6,8.5
GW190915_235702-v1,GW190915_235702,1,GWTC-2,1252627041,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190915_235702/v1,35.3,-6.4,9.5,24.4,-6.1,5.6,13.07209167,,,1620,-610,710,0.02,-0.25,0.2,59.9,-6.4,7.5,25.3,-2.7,3.2,33.1,-3.9,3.3,0.3,-0.1,0.11,1.00E-05,,,1,,,57.2,-6,7.1
GW190916_200658-v1,GW190916_200658,1,GWTC-2.1-confident,1252699637,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190916_200658/v1,44.3,-13.3,21.2,23.9,-10.2,12.7,8.208,,,4460,-2520,3790,0.18,-0.29,0.33,68.9,-14,21,27.3,-5.5,9.3,,,,0.71,-0.36,0.46,6900,,,0.65727,,,65.7,-13.4,19.8
GW190917_114630-v1,GW190917_114630,1,GWTC-2.1-confident,1252756008,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190917_114630/v1,9.3,-4.4,3.4,2.1,-0.5,1.5,9.4556,,,720,-310,340,-0.11,-0.49,0.24,11.4,-2.9,3,3.7,-0.2,0.2,,,,0.15,-0.06,0.06,0.66,,,0.76643,,,11.2,-2.9,3
GW190924_021846-v1,GW190924_021846,1,GWTC-2,1253326745,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190924_021846/v1,8.9,-2,7,5,-1.9,1.4,13.15903752,,,570,-220,220,0.03,-0.09,0.3,13.9,-1,5.1,5.8,-0.2,0.2,6.44,-0.03,0.04,0.12,-0.04,0.04,1.00E-05,,,1,,,13.3,-1,5.2
GW190925_232845-v1,GW190925_232845,1,GWTC-2.1-confident,1253489343,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190925_232845/v1,21.2,-3.1,6.9,15.6,-3.6,2.6,9.8838,,,930,-350,380,0.11,-0.14,0.17,37,-2.6,3.8,15.8,-1,1.1,,,,0.19,-0.07,0.07,0.0072,,,0.98849,,,35.2,-2.4,3.8
GW190926_050336-v1,GW190926_050336,1,GWTC-2.1-confident,1253509434,/GWTC-2.1/,https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190926_050336/v1,39.8,-11.1,20.6,23.2,-9.7,10.8,9.0049,,,3780,-2000,3170,-0.04,-0.33,0.28,62.9,-11.9,22.7,25.6,-5.3,8.8,,,,0.62,-0.29,0.4,1.1,,,0.54334,,,60.5,-11.6,21.8
GW190929_012149-v1,GW190929_012149,1,GWTC-2,1253755328,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190929_012149/v1,80.8,-33.2,33,24.1,-10.6,19.3,9.875628916,,,2130,-1050,3650,0.01,-0.33,0.34,104.3,-25.2,34.9,35.8,-8.2,14.9,52.2,-15.4,19.9,0.38,-0.17,0.49,0.02016144359,,,0.995693,,,101.5,-25.3,33.6
GW190930_133541-v1,GW190930_133541,1,GWTC-2,1253885759,/GWTC-2/,https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190930_133541/v1,12.3,-2.3,12.4,7.8,-3.3,1.7,9.837638319,,,760,-320,360,0.14,-0.15,0.31,20.3,-1.5,8.9,8.5,-0.5,0.5,9.8,-0.2,0.2,0.15,-0.06,0.06,0.03309219803,,,0.99373,,,19.4,-1.5,9.2
GW191103_012549-v1,GW191103_012549,1,GWTC-3-confident,1256779568,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,11.8,-2.2,6.2,7.9,-2.4,1.7,8.9,-0.5,0.3,990,-470,500,0.21,-0.1,0.16,20,-1.8,3.7,8.34,-0.57,0.66,,,,0.2,-0.09,0.09,0.46,,,0.94318,,,19,-1.7,3.8
GW191105_143521-v1,GW191105_143521,1,GWTC-3-confident,1256999740,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,10.7,-1.6,3.7,7.7,-1.9,1.4,9.7,-0.5,0.3,1150,-480,430,-0.02,-0.09,0.13,18.5,-1.3,2.1,7.82,-0.45,0.61,,,,0.23,-0.09,0.07,0.012,,,0.99,,,17.6,-1.2,2.1
GW191109_010717-v1,GW191109_010717,1,GWTC-3-confident,1257296855,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,65,-11,11,47,-13,15,17.3,-0.5,0.5,1290,-650,1130,-0.29,-0.31,0.42,112,-16,20,47.5,-7.5,9.6,,,,0.25,-0.12,0.18,0.00018,,,0.99,,,107,-15,18
GW191113_071753-v1,GW191113_071753,1,GWTC-3-confident,1257664692,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,29,-14,12,5.9,-1.3,4.4,7.9,-1.1,0.5,1370,-620,1150,0,-0.29,0.37,34.5,-9.8,10.5,10.7,-1,1.1,,,,0.26,-0.11,0.18,26,,,0.68339,,,34,-10,11
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804398,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,8.3,-2.4,1.9,8.3,-0.5,0.2,1620,-740,740,0.21,-0.11,0.15,20.7,-2,3.4,8.65,-0.71,0.95,,,,0.3,-0.13,0.12,3.2,,,0.70041,,,19.6,-2,3.5
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866166,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53,-20,47,24,-14,17,9.2,-0.6,0.7,3400,-1900,3100,0.18,-0.36,0.34,80,-22,39,29.9,-9.1,11.7,,,,0.57,-0.29,0.4,0.25,,,0.48622,,,76,-21,39
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,6.7,-1.7,1.5,13.1,-0.3,0.2,790,-330,260,0.06,-0.08,0.16,17.5,-1.2,2.4,7.31,-0.28,0.43,,,,0.16,-0.06,0.05,1.00E-05,,,0.99,,,16.8,-1.2,2.5
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492748,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-6,11,19.3,-6,5.6,8.8,-0.6,0.4,1800,-1100,1700,0.05,-0.27,0.26,47.2,-8,9.2,19.8,-3.3,3.6,,,,0.34,-0.18,0.25,3.3,,,0.74239,,,45,-7.6,8.6
GW191204_171526-v1,GW191204_171526,1,GWTC-3-confident,1259514944,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,11.9,-1.8,3.3,8.2,-1.6,1.4,17.5,-0.2,0.2,650,-250,190,0.16,-0.05,0.08,20.21,-0.96,1.7,8.55,-0.27,0.38,,,,0.13,-0.05,0.04,1.00E-05,,,0.99,,,19.21,-0.95,1.79
GW191215_223052-v1,GW191215_223052,1,GWTC-3-confident,1260484270,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,24.9,-4.1,7.1,18.1,-4.1,3.8,11.2,-0.4,0.3,1930,-860,890,-0.04,-0.21,0.17,43.3,-4.3,5.3,18.4,-1.7,2.2,,,,0.35,-0.14,0.13,1.00E-05,,,0.99,,,41.4,-4.1,5.1
GW191216_213338-v1,GW191216_213338,1,GWTC-3-confident,1260567236,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,12.1,-2.3,4.6,7.7,-1.9,1.6,18.6,-0.2,0.2,340,-130,120,0.11,-0.06,0.13,19.81,-0.94,2.69,8.33,-0.19,0.22,,,,0.07,-0.03,0.02,1.00E-05,,,0.99,,,18.87,-0.94,2.8
GW191219_163120-v1,GW191219_163120,1,GWTC-3-confident,1260808298,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,31.1,-2.8,2.2,1.17,-0.06,0.07,9.1,-0.8,0.5,550,-160,250,0,-0.09,0.07,32.3,-2.7,2.2,4.32,-0.17,0.12,,,,0.11,-0.03,0.05,4,,,0.8224,,,32.2,-2.7,2.2
GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8,10.9,34.7,-10.5,9.3,12.5,-0.3,0.2,3000,-1700,1700,-0.04,-0.25,0.2,79,-11,16,33.8,-5,7.1,,,,0.51,-0.26,0.23,1.00E-05,,,0.99,,,75.5,-9.9,15.3
GW191230_180458-v1,GW191230_180458,1,GWTC-3-confident,1261764316,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,49.4,-9.6,14,37,-12,11,10.4,-0.4,0.3,4300,-1900,2100,-0.05,-0.31,0.26,86,-12,19,36.5,-5.6,8.2,,,,0.69,-0.27,0.26,0.05,,,0.9462,,,82,-11,17
GW200112_155838-v1,GW200112_155838,1,GWTC-3-confident,1262879936,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,35.6,-4.5,6.7,28.3,-5.9,4.4,19.8,-0.2,0.1,1250,-460,430,0.06,-0.15,0.15,63.9,-4.6,5.7,27.4,-2.1,2.6,,,,0.24,-0.08,0.07,1.00E-05,,,0.99,,,60.8,-4.3,5.3
GW200115_042309-v2,GW200115_042309,2,GWTC-3-confident,1263097408,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,5.9,-2.5,2,1.44,-0.29,0.85,11.3,-0.5,0.3,290,-100,150,-0.15,-0.42,0.24,7.4,-1.7,1.8,2.43,-0.07,0.05,,,,0.06,-0.02,0.03,1.00E-05,,,0.99,,,7.2,-1.7,1.8
GW200128_022011-v1,GW200128_022011,1,GWTC-3-confident,1264213230,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200128_022011/v1,42.2,-8.1,11.6,32.6,-9.2,9.5,10.6,-0.4,0.3,3400,-1800,2100,0.12,-0.25,0.24,75,-12,17,32,-5.5,7.5,,,,0.56,-0.28,0.28,0.0043,,,0.99,,,71,-11,16
GW200129_065458-v1,GW200129_065458,1,GWTC-3-confident,1264316116,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200129_065458/v1,34.5,-3.2,9.9,28.9,-9.3,3.4,26.8,-0.2,0.2,900,-380,290,0.11,-0.16,0.11,63.4,-3.6,4.3,27.2,-2.3,2.1,,,,0.18,-0.07,0.05,1.00E-05,,,0.99,,,60.3,-3.3,4
GW200202_154313-v1,GW200202_154313,1,GWTC-3-confident,1264693412,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200202_154313/v1,10.1,-1.4,3.5,7.3,-1.7,1.1,10.8,-0.4,0.2,410,-160,150,0.04,-0.06,0.13,17.58,-0.67,1.78,7.49,-0.2,0.24,,,,0.09,-0.03,0.03,1.00E-05,,,0.99,,,16.76,-0.66,1.87
GW200208_130117-v1,GW200208_130117,1,GWTC-3-confident,1265202096,/GWTC-3/,https://www.gw-openscience.org/eventapi/json/GWTC-3-confident/GW200208_130117/v1,37.8,-6.2,9.2,27.4,-7.4,6.1,10.8,-0.4,0.3,2230,-850,1000,-0.07,-0.27,0.22,65.4,-6.8,7.8,27.7,-3.1,3.6,,,,0.4,-0.14,0.15,0.00031,,,0.99,,,62.5,-6.4,7.3
